q_forecast
-619.37281
-620.87158
-625.60914
-637.44703
-656.09743
-680.94352
-709.88593
-742.61188
-778.11472
-816.06045
-853.60144
-888.24437
-914.8878
-938.76893
-960.28168
-979.22771
-995.52605
-996.13955
-1005.1487
-1025.1103
-1056.1863
-1085.6285
-1110.5342
-1136.0504
-1133.2472
-1134.0956
-1136.3054
-1142.8257
-1154.5993
-1171.6136
-1193.0186
-1217.5492
-1244.9968
-1278.3805
-1317.1183
-1357.0379
-1397.0942
-1438.4119
-1480.9919
-1522.6878
-1559.4781
-1588.736
-1614.8348
-1650.4236
-1655.8785
-1614.8254
-1576.756
-1541.2096
-1511.6131
-1485.8082
-1461.4823
-1438.2944
-1415.5895
-1392.7328
-1364.5331
-1331.7301
-1295.1479
-1254.888
-1210.842
-1163.7702
-1114.6213
-1068.8231
-1031.1612
-1006.1586
-990.86218
-985.10292
-989.44174
-1011.063
-1071.7567
-1149.6637
-1245.5408
-1355.0542
-1481.2384
-1598.0155
-1696.0426
-1805.614
-1822.3763
-1837.5884
-1847.1144
-1842.7605
-1804.1193
-1741.02
-1684.0178
-1631.4965
-1582.2506
-1532.3632
-1490.7034
-1465.2994
-1452.2235
-1459.3288
-1478.0721
-1502.9667
-1449.5584
-1418.1524
-1415.6039
-1453.992
-1518.5181
-1572.2607
-1626.4514
-1686.1789
-1719.1118
-1541.8386
-1259.085
-1110.1569
-1059.6025
-1051.4374
-1045.6195
-1042.4256
-1049.4514
-1066.9783
-1094.2323
-1109.7724
-1137.6114
-1171.3217
-1214.1309
-1218.8986
-1148.2557
-1039.5593
-776.02318
-615.10351
-512.04902
-440.757
-360.31762
-276.92912
-216.749
-184.35259
-178.99467
-184.16129
-162.11852
-80.885881
32.560183
37.521651
-17.329346
-68.379988
-117.38227
-160.58876
-211.89348
-259.03614
-303.03528
-342.88943
-353.6822
-319.79714
-288.38273
-351.32287
-399.35619
-415.45849
-429.90387
-456.85095
-456.98165
-425.59456
-390.50716
-388.79299
-599.63771
-922.84181
-1086.7207
-1163.563
-1208.363
-1258.6754
-1317.2113
-1383.759
-1450.3979
-1514.417
-1593.4442
-1662.3086
-1722.8002
-1764.8047
-1824.1833
-1945.7489
-2094.0919
-2387.9564
-2554.0397
-2651.4687
-2675.8596
-2660.5247
-2635.8932
-2607.6537
-2563.957
-2493.2989
-2491.4207
-2511.0664
-2603.3139
-2750.5054
-2830.9089
-2881.4507
-2865.6773
-2754.33
-2684.2631
-2613.6024
-2554.8571
-2506.1203
-2453.7668
-2415.4173
-2426.6473
-2441.6467
-2442.8072
-2425.3029
-2386.4289
-2340.8854
-2300.7541
-2254.7871
-2239.8339
-2233.7147
-2231.0631
-2226.5783
-2062.0374
-2014.4635
-2037.3526
-1836.3751
-1401.6634
-1146.8044
-997.02758
-902.28225
-795.00388
-672.19506
-518.69768
-364.7405
-222.7283
-102.93294
10.241134
121.04279
226.36651
318.85813
407.96413
486.51979
506.50051
506.85806
497.93703
472.12539
407.86045
315.74287
217.85389
135.98876
72.309801
20.025823
59.167571
86.664658
4.4035856
-97.875416
-229.40389
-370.27328
-475.53354
-590.42698
-692.55256
-766.42461
-808.16879
-827.55144
-839.19532
-862.32748
-892.25955
-924.85401
-1012.0039
-1113.2946
-1192.0778
-1260.839
-1328.9103
-1535.2659
-1635.7314
-1639.4436
-1847.6157
-2281.3546
-2525.5227
-2647.9637
-2722.1714
-2813.0193
-2927.3474
-3072.6701
-3206.3967
-3329.3531
-3441.346
-3535.9896
-3595.8625
-3540.0432
-3482.0187
-3423.2806
-3390.2232
-3336.2702
-3260.6095
-3170.8581
-3073.0567
-2956.4225
-2824.4886
-2610.1317
-2407.4509
-2195.2419
-1990.9183
-1874.0191
-1811.4574
-1732.381
-1595.2071
-1423.1808
-1232.7087
-1062.0656
-883.9371
-720.07688
-575.03417
-458.57965
-370.70448
-306.09879
-252.57329
-200.47937
-113.08508
-13.506348
99.097474
201.46401
305.59258
411.09251
503.00113
582.25891
647.9727
704.62506
760.26123
815.99034
870.15253
938.13361
1013.7982
1098.0696
1184.6447
1261.3402
1334.7514
1406.4309
1462.6065
1484.0842
1402.3885
1325.9425
1256.9022
1193.8401
1134.0056
1076.5548
1020.2748
967.90992
918.83216
873.06127
750.4893
640.57321
520.7239
412.82541
314.18077
224.40147
140.62901
63.151685
-10.56214
-78.454069
-140.04057
-195.58469
-245.93115
-290.89273
-330.30103
-362.69985
-389.13745
-416.50393
-441.37458
-495.35128
-543.14524
-587.36645
-629.77848
-672.80437
-716.29
-760.30816
-804.87546
-850.05583
-894.27352
-935.13426
-970.67548
-1002.2082
-1031.7764
